time,p_z0,p_z025,p_z050,p_z075,p_z100,uz_top
1.525,999.99973795291,999.94184642564,993.24979670046,826.28489913366,-4.9238234019033e-13,-0.0013192326012788
1.55,999.99968401717,999.93378230589,992.79949422861,822.77623964995,-4.8837046995119e-13,-0.0013300459807971
1.575,999.99961934106,999.9248764202,992.33368759747,819.30035090012,-4.8445508618503e-13,-0.0013407721556419
1.6,999.99954219186,999.91507249824,991.8525177699,815.85722023187,-4.8063238260579e-13,-0.0013514132021149
1.625,999.99945062716,999.90431316374,991.35614034025,812.44679588072,-4.7689875986547e-13,-0.0013619711154124
1.65,999.99934247915,999.89254006429,990.84472430198,809.06899095225,-4.7325081131101e-13,-0.0013724478139921
1.675,999.99921533881,999.87969400236,990.31845086606,805.72368704941,-4.6968530992122e-13,-0.0013828451436433
1.7,999.99906653999,999.86571506649,989.77751233176,802.41073757638,-4.661991963099e-13,-0.0013931648812821
1.725,999.99889314365,999.85054276202,989.22211101054,799.12997074783,-4.6278956769397e-13,-0.0014034087384971
1.75,999.99869192207,999.83411614057,988.65245820347,795.8811923295,-4.59453667736e-13,-0.0014135783648627
1.775,999.9984593434,999.81637392763,988.06877323179,792.66418813407,-4.561888771805e-13,-0.00142367535104
1.8,999.99819155646,999.79725464777,987.47128252027,789.47872629383,-4.5299270521176e-13,-0.0014337012316809
1.825,999.99788437589,999.77669674673,986.86021873229,786.32455932986,-4.498627814683e-13,-0.0014436574881506
1.85,999.99753326786,999.75463871025,986.23581995561,783.20142603568,-4.4679684865583e-13,-0.0014535455510829
1.875,999.99713333622,999.7310191789,985.59832893741,780.10905319166,-4.4379275570651e-13,-0.0014633668027791
1.9,999.99667930935,999.70577705889,984.94799236711,777.04715712499,-4.4084845143729e-13,-0.001473122579464
1.925,999.9961655276,999.6788516283,984.28506020532,774.01544512882,-4.3796197866484e-13,-0.0014828141734076
1.95,999.99558593155,999.6501826387,983.6097850572,771.01361675275,-4.351314687389e-13,-0.001492442834923
1.975,999.99493405107,999.61971041188,982.92242158837,768.04136497602,-4.323551364591e-13,-0.0015020097742492
2,999.99420299512,999.58737593155,982.2232259816,765.09837727356,-4.296312753441e-13,-0.0015115161633265
2.25,999.96775927515,999.030167632,974.29093306291,738.27891923047,-4.0644018224983e-13,-0.0016014281120818
2.5,999.90722222996,998.20440067884,965.63485187058,713.77380857221,-3.864326331476e-13,-0.0016868977993496
2.75,999.79488545795,997.08788093727,956.44092894668,691.31596346471,-3.6897262737742e-13,-0.0017684926873527
3,999.6114573572,995.669393571,946.86487666095,670.6692798203,-3.5358266831896e-13,-0.0018466735642095
3.25,999.33719429595,993.94673817183,937.03476890772,651.6272854684,-3.3989783355386e-13,-0.0019218197613707
3.5,998.95288707272,991.92471444888,927.05450344835,634.01039282898,-3.2763472231571e-13,-0.0019942473975121
3.75,998.44064264788,989.61327506375,917.00740139367,617.66272571404,-3.1657002483496e-13,-0.0020642228148242
4,997.78444721499,987.02594448024,906.95958203629,602.44899288502,-3.0652544915986e-13,-0.0021319726371519
4.25,996.97052458819,984.17853057016,896.96295847012,588.25161834669,-2.9735693269178e-13,-0.0021976914123674
4.5,995.98751883222,981.08811541889,887.05781148908,574.96820352861,-2.8894679507255e-13,-0.0022615474990027
