sample,case,group,design,run_status,run_end_s,expected_end_s,hold,cycle,probe_time_s,sample_time_s,injection_pressure_mpa,hydraulic_aperture_um,flow_ml_min,permeability_1e13_m2,shear_slip_mm,normal_dilation_mm,effective_normal_mpa,dilation_angle_deg,slip_damage_aperture_um,cumulative_plastic_slip_m,strength_margin_mpa,weakening_state_w,hydraulic_aperture_um_ratio_to_cycle1,flow_ml_min_ratio_to_cycle1,permeability_1e13_m2_ratio_to_cycle1,shear_slip_mm_change_from_cycle1,normal_dilation_mm_change_from_cycle1,analysis_status
SWS4,101_04_sw4_cyclic3_eq,A,equal-peak 3-cycle,complete,11613.9,11613.9247,final_ambient,0,11513.9247,11514,5,0.757324559,0,0.475721443,0.0939476761,-0.0350045564,25.5087541,17.3037479,0.256074597,9.36782199e-05,4.81489599,0.276218897,,,,,,qualified_failed_pre_injection_falsifier
SWT1,101_05_swt1_cyclic3_esc,B,escalating-peak 3-cycle,complete,9520.8,9520.78261,peak,1,1455.13043,1454.763,24,1.63081188,0.334860986,2.21638768,0.00830999745,0.000923270241,57.8668017,16.4420036,0,1.60033878e-06,0.905444644,0.998266227,1,1,1,0,0,valid
SWT1,101_05_swt1_cyclic3_esc,B,escalating-peak 3-cycle,complete,9520.8,9520.78261,floor,1,2794.6087,2794.96248,8,1.63048297,0.0528408025,2.21548109,0.00827552769,0.00100110592,65.6524243,16.4420036,0,1.60043984e-06,5.6085518,0.998266074,1,1,1,0,0,valid
SWT1,101_05_swt1_cyclic3_esc,B,escalating-peak 3-cycle,complete,9520.8,9520.78261,peak,2,4276.52174,4276.43707,26,1.64627128,0.380735039,2.2553557,0.0133258904,-0.000586527146,56.6777214,16.4420036,0,6.66270431e-06,0.000752740771,0.987299803,1.00947957,1.13699432,1.01758177,0.00501589297,-0.00150979739,valid
SWT1,101_05_swt1_cyclic3_esc,B,escalating-peak 3-cycle,complete,9520.8,9520.78261,floor,2,5758.43478,5758.43707,8,1.64501885,0.054266678,2.25238907,0.0132917385,-0.000491450348,65.4303713,16.4420036,0,6.66809303e-06,5.44172923,0.987285512,1.00891507,1.02698436,1.01665913,0.00501621081,-0.00149255627,valid
SWT1,101_05_swt1_cyclic3_esc,B,escalating-peak 3-cycle,complete,9520.8,9520.78261,peak,3,7382.78261,7383.06289,28,4.14806424,6.67058009,14.3183192,0.533927985,-0.157186403,32.662859,16.4420036,0,0.000530425751,-2.07176591e-05,0.0028493567,2.54355777,19.9204457,6.46020518,0.525617987,-0.158109673,valid
SWT1,101_05_swt1_cyclic3_esc,B,escalating-peak 3-cycle,complete,9520.8,9520.78261,floor,3,9007.13043,9006.81289,8,3.79476518,0.666155049,12.3255459,0.533723723,-0.13724897,41.6356767,16.4420036,0,0.00053042855,8.19267273,0.00284923334,2.32738719,12.6068306,5.5633722,0.525448196,-0.138250076,valid
SWT1,101_05_swt1_cyclic3_esc,B,escalating-peak 3-cycle,complete,9520.8,9520.78261,final_ambient,0,9420.78261,9420.81289,5,3.77266417,0,12.2243104,0.53370595,-0.136043161,43.059456,16.4420036,0,0.00053042855,9.0458046,0.00284923334,,,,,,valid
SWT2,101_06_swt2_cyclic3_esc,B,escalating-peak 3-cycle,complete,12693,12692.9565,peak,1,1983.82609,1983.75,24,2.1149091,0.729375424,3.72006479,0.0105371429,0.000601373547,58.2298012,13.9653913,0,2.94278417e-06,0.553889547,0.995936968,1,1,1,0,0,valid
SWT2,101_06_swt2_cyclic3_esc,B,escalating-peak 3-cycle,complete,12693,12692.9565,floor,1,3768.52174,3768.75,8,2.11202013,0.114693241,3.71098256,0.0104989232,0.000677242549,66.0110192,13.9653913,0,2.94286141e-06,5.44785445,0.995936819,1,1,1,0,0,valid
SWT2,101_06_swt2_cyclic3_esc,B,escalating-peak 3-cycle,complete,12693,12692.9565,peak,2,5751.30435,5751,26,4.48781593,7.7027679,16.3742483,0.554397558,-0.137120322,31.8456439,13.9653913,0,0.000550742464,-0.000782144848,0.00207598029,2.12198999,10.5607725,4.40160298,0.543860415,-0.137721696,valid
SWT2,101_06_swt2_cyclic3_esc,B,escalating-peak 3-cycle,complete,12693,12692.9565,floor,2,7734.08696,7734.138,8,4.24932343,0.934120769,15.182535,0.55433274,-0.130158414,40.2680816,13.9653913,0,0.000550781752,8.35792149,0.00207469993,2.01197108,8.14451456,4.09124397,0.543833817,-0.130835657,valid
SWT2,101_06_swt2_cyclic3_esc,B,escalating-peak 3-cycle,complete,12693,12692.9565,peak,3,9914.95652,9915.138,28,4.60842087,9.13495997,17.1544513,0.570092547,-0.141638924,30.1899641,13.9653913,0,0.000566312578,2.00087711e-05,0.00162346527,2.17901605,12.5243594,4.61133133,0.559555404,-0.142240297,valid
SWT2,101_06_swt2_cyclic3_esc,B,escalating-peak 3-cycle,complete,12693,12692.9565,floor,3,12095.8261,12096.138,8,4.26048277,0.941499521,15.2936902,0.56994928,-0.131038307,39.4259272,13.9653913,0,0.00056631304,10.1761868,0.00162345337,2.01725481,8.20884923,4.12119702,0.559450357,-0.131715549,valid
SWT2,101_06_swt2_cyclic3_esc,B,escalating-peak 3-cycle,complete,12693,12692.9565,final_ambient,0,12592.9565,12592.638,5,4.24167781,0,15.2424149,0.569939051,-0.130709284,40.8653346,13.9653913,0,0.00056631304,11.3352114,0.00162345337,,,,,,valid
SWS3,101_07_sw3_cyclic3_esc,B,escalating-peak 3-cycle,complete,14442.7,14442.746,peak,1,2219.20876,2219.25,24.5700004,1.3824874,0.209648808,1.59052726,0.00312923313,-0.00328949296,23.3603337,26,0,1.61485526e-06,0.961863412,0.993681708,1,1,1,0,0,valid
SWS3,101_07_sw3_cyclic3_esc,B,escalating-peak 3-cycle,complete,14442.7,14442.746,floor,1,4283.29746,4283.25,8.00000009,1.24796485,0.0236399388,1.29615115,0.00291577641,-0.000733730213,30.4710236,26,0,1.61596329e-06,7.87979736,0.993675657,1,1,1,0,0,valid
SWS3,101_07_sw3_cyclic3_esc,B,escalating-peak 3-cycle,complete,14442.7,14442.746,peak,2,6572.38177,6572.25,26.5700003,1.69755478,0.427798798,2.44384787,0.017435884,-0.0135155729,21.1003075,26,0,1.55855512e-05,-0.0141490406,0.859421885,1.22789892,2.04054963,1.53650172,0.0143066509,-0.0102260799,valid
