time,aperture,aperture_init_error,mass_imbalance,p_q1,p_q2,p_q3,perm_rel_error,permeability,profile_max_error,q_in,q_out,transmissivity,transmissivity_rel_error
0.0009716796875,1e-06,0,1.9111746118707,1671485.3646526,1389454.9662782,1172157.0800247,1.5146129380243e-16,8.3333333333333e-14,0.11054503372177,1.2734416897553e-11,1.1603277374028e-11,8.3333333333333e-17,1.4791141972894e-16
0.0009765625,1e-06,0,1.9117871469771,1672180.3449667,1390423.1091159,1172831.2689753,1.5146129380243e-16,8.3333333333333e-14,0.10957689088413,1.2621503149544e-11,1.1508124347285e-11,8.3333333333333e-17,1.4791141972894e-16
0.0009814453125,1e-06,0,1.9123704291809,1672868.9572217,1391382.7524813,1173499.8052788,1.5146129380243e-16,8.3333333333333e-14,0.10861724751872,1.2509808861277e-11,1.1413579679734e-11,8.3333333333333e-17,1.4791141972894e-16
0.000986328125,1e-06,0,1.9129250612289,1673551.2665038,1392333.9709795,1174162.7294045,1.5146129380243e-16,8.3333333333333e-14,0.1076660290205,1.2399315452918e-11,1.1319645819052e-11,8.3333333333333e-17,1.4791141972894e-16
0.0009912109375,1e-06,0,1.9134516320956,1674227.3370111,1393276.8385617,1174820.0817809,1.5146129380243e-16,8.3333333333333e-14,0.10672316143833,1.2290004780475e-11,1.1226324925187e-11,8.3333333333333e-17,1.4791141972894e-16
0.00099609375,1e-06,0,1.9139507172163,1674897.2320731,1394211.4285307,1175471.9027856,1.5146129380243e-16,8.3333333333333e-14,0.10578857146925,1.2181859122308e-11,1.1133618881861e-11,8.3333333333333e-17,1.4791141972894e-16
0.0010009765625,1e-06,0,1.9144228787062,1675561.0141683,1395137.8135471,1176118.232735,1.5146129380243e-16,8.3333333333333e-14,0.10486218645293,1.207486116639e-11,1.1041529307748e-11,8.3333333333333e-17,1.4791141972894e-16
0.001005859375,1e-06,0,1.9148686655942,1676218.7449422,1396056.0656339,1176759.111875,1.5146129380243e-16,8.3333333333333e-14,0.10394393436605,1.1968993997747e-11,1.0950057567224e-11,8.3333333333333e-17,1.4791141972894e-16
0.0010107421875,1e-06,0,1.9152886140434,1676870.4852241,1396966.2561832,1177394.5803719,1.5146129380243e-16,8.3333333333333e-14,0.10303374381679,1.1864241086566e-11,1.08592047808e-11,8.3333333333333e-17,1.4791141972894e-16
0.001015625,1e-06,0,1.91568324758,1677516.295044,1397868.4559607,1178024.6783035,1.5146129380243e-16,8.3333333333333e-14,0.10213154403934,1.1760586276471e-11,1.0768971835084e-11,8.3333333333333e-17,1.4791141972894e-16
0.0010205078125,1e-06,0,1.9160530773263,1678156.2336487,1398762.7351115,1178649.4456511,1.5146129380243e-16,8.3333333333333e-14,0.1012372648885,1.1658013773262e-11,1.0679359392509e-11,8.3333333333333e-17,1.4791141972894e-16
