time,closure,closure_rel_error,cum_slip,envelope_rel_error,fracture_state,limit_tau,limit_tau_reference,mu_eff,mu_reference,normal_jump,phi_peak,phi_peak_reference,sigma_n,sigma_n_reference,strength_rel_error,tau,tau_1,tau_2,weakening_rel_error,yield_rel_error
3.215625,4.4926403896021e-05,1.7626039105887e-11,6.1501170893052e-05,3.9253696055804e-16,1,17976069.171174,17976069.171174,0.4998762347719,0.4998762347719,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,17976069.171174,17976069.171174,7.0213918907097e-11,0,0
3.415625,4.4926403896021e-05,1.7626039105887e-11,6.7253012440015e-05,3.9253696055804e-16,1,17601509.669691,17601509.669691,0.48946053201085,0.48946053201085,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,17601509.669691,17601509.669691,-4.8477612825313e-11,0,0
3.615625,4.4926403896021e-05,1.7624795997128e-11,7.300075044458e-05,3.9253696055804e-16,1,17267877.063763,17267877.063763,0.48018291913226,0.48018291913226,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,17267877.067122,17267877.067122,1.3150891986739e-10,0,0
3.815625,4.4926403896021e-05,1.7624795997128e-11,7.8744837802021e-05,3.9253696055804e-16,1,16970653.051118,16970653.051118,0.47191775176394,0.47191775176394,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,16970653.053236,16970653.053236,8.6533283370881e-11,1.1762886864028e-16,0
4.015625,4.4926403896021e-05,1.7626039105887e-11,8.448567665803e-05,3.9253696055804e-16,1,16705827.708633,16705827.708633,0.46455352247593,0.46455352247593,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,16705827.709969,16705827.709969,-1.6104094860645e-10,1.1949355358539e-16,0
4.215625,4.4926403896021e-05,1.7626039105887e-11,9.0223624030969e-05,3.9253696055804e-16,1,16469840.332552,16469840.332552,0.45799121567316,0.45799121567316,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,16469840.333395,16469840.333395,3.7211120809419e-11,1.2120571166341e-16,0
4.415625,4.4926403896021e-05,1.7626039105887e-11,9.5958997100743e-05,3.9253696055804e-16,1,16259527.548628,16259527.548628,0.45214286464872,0.45214286464872,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,1.1455715079422e-16,16259527.549159,16259527.549159,1.6092739448078e-11,0,0
4.615625,4.4926403896021e-05,1.7624795997128e-11,0.00010169207777801,3.9253696055804e-16,1,16072077.740291,16072077.740291,0.44693028432831,0.44693028432831,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,1.1589323915236e-16,16072077.740627,16072077.740627,7.7730378829687e-12,0,0
4.815625,4.4926403896021e-05,1.7624795997128e-11,0.00010742311672396,3.9253696055804e-16,1,15904990.956744,15904990.956744,0.44228395639954,0.44228395639954,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,15904990.956956,15904990.956956,7.6336772051674e-12,0,0
5.015625,4.4926403896021e-05,1.7626039105887e-11,0.0001131523368919,3.9253696055804e-16,1,15756043.5908,15756043.5908,0.43814204707784,0.43814204707784,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,15756043.590934,15756043.590934,2.420343695247e-11,0,0
5.215625,4.4926403896021e-05,1.7626039105887e-11,0.00011887993665153,3.9253696055804e-16,1,15623257.218446,15623257.218446,0.43444954060108,0.43444954060108,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,15623257.218531,15623257.218531,-6.6106238546467e-11,0,0
5.415625,4.4926403896021e-05,1.7626039105887e-11,0.00012460609254841,3.9253696055804e-16,1,15504871.077661,15504871.077661,0.43115747392391,0.43115747392391,-5.9640389602051e-07,36.202590184118,36.202590184118,35961039.794933,35961039.794299,0,15504871.077714,15504871.077714,3.4927591641992e-11,0,0
