time,admissible_work,closure_headroom,cum_slip,dilation_inc,dilation_work,fracture_state,limit_tau,limiter_violation,mu_eff,mu_reference,normal_jump,normal_plastic_jump,pressure,roughness,slip_inc,strength_rel_error,tau,tau_1,tau_2,yield_rel_error
1.8,49.751617583134,0.58449568215581,1.0308284161373e-05,1.358409310593e-06,42.105343574142,2,13874727.218933,0,0.44557298000351,0.44557298000351,2.1116245947453e-05,3.5936085184582e-06,30996065.210833,0.41573668857594,3.9841918489711e-06,1.2458374659707e-16,13874727.218933,13874727.218933,-1.2552267851766e-08,2.013710020932e-15
1.9,49.886051024318,0.60336676172527,1.4394964888078e-05,1.3589073090014e-06,42.120779568452,2,13563316.855261,0,0.43573830557438,0.43573830557438,2.1609648364683e-05,4.9525158274596e-06,30996065.213163,0.40309210716706,4.0866807267041e-06,1.2739561916202e-16,13563316.855261,13563316.855261,-8.1852378077709e-09,2.8839220193163e-15
2,49.305755231796,0.62284712576831,1.8525972842381e-05,1.340036662484e-06,41.53586370698,2,13261696.197584,0,0.42619730755312,0.42619730755312,2.2056235857464e-05,6.2925524899436e-06,30996065.159879,0.39082510971116,4.1310079543034e-06,1.3024754086308e-16,13261696.197584,13261696.197584,3.7008979784306e-09,1.4045301004334e-15
2.1,48.093564939872,0.64223681609362,2.2644916695252e-05,1.3042104696672e-06,40.425392840515,2,12973542.802821,0,0.41706875168838,0.41706875168838,2.2471155824979e-05,7.5967629596108e-06,30996065.267617,0.37908839502792,4.1189438528709e-06,0,12973542.802821,12973542.802821,1.2520617050949e-08,2.4407340398986e-15
2.2,46.435316120489,0.66097849881496,2.6707141310696e-05,1.2565858060763e-06,38.949215701358,2,12701118.370776,0,0.40842687472042,0.40842687472042,2.2868171407973e-05,8.8533487656871e-06,30996065.300926,0.36797741035482,4.0622246154439e-06,0,12701118.370776,12701118.370776,1.731267454732e-09,8.799123485929e-16
2.3,44.539474319974,0.67870684111129,3.0683618468892e-05,1.2028652579494e-06,37.284090050704,2,12445263.189296,0,0.40030080997095,0.40030080997095,2.3257942379292e-05,1.0056214023637e-05,30996065.273566,0.35752961281979,3.976477158196e-06,1.3867359208013e-16,12445263.189296,12445263.189296,-1.5168233377966e-08,5.9866798183362e-16
2.4,42.577927000554,0.69523255075709,3.4559565941829e-05,1.1477041963195e-06,35.574314144236,2,12205740.172877,0,0.39268524216401,0.39268524216401,2.3647709941103e-05,1.1203918219956e-05,30996065.239036,0.34773816849659,3.8759474729374e-06,1.4136296776866e-16,12205740.172877,12205740.172877,9.3141364879823e-09,2.5942685235337e-15
2.5,40.665727567476,0.71049641126415,3.833067534073e-05,1.0941857922976e-06,33.915454173413,2,11981657.640272,0,0.38555371297854,0.38555371297854,2.4041832661357e-05,1.2298104012254e-05,30996065.213201,0.33856905954384,3.7711093989007e-06,0,11981657.640272,11981657.640272,-3.9256222214165e-09,4.0419093362532e-15
2.6,38.867092041887,0.72452168353605,4.1999240207086e-05,1.0440038636732e-06,32.360011841247,2,11771812.520031,0,0.37886950811635,0.37886950811635,2.4442580175278e-05,1.3342107875927e-05,30996065.213201,0.32997508186388,3.6685648663564e-06,2.9303572888325e-16,11771812.520031,11771812.520031,3.3486165431682e-09,4.7468777116391e-16
2.7,37.210320907141,0.73737723051169,4.5571171351567e-05,9.9787925179127e-07,30.930331807143,2,11574915.454856,0,0.37259283241087,0.37259283241087,2.4850851463579e-05,1.4339987127718e-05,30996066.65999,0.32190507024254,3.571931144481e-06,0,11574915.454856,11574915.454856,1.8626101885614e-09,1.6092084270469e-15
2.8,35.701792079731,0.74915298098628,4.9054020610574e-05,9.5594453899048e-07,29.630520170294,2,11389714.258745,0,0.36668486464987,0.36668486464987,2.5266711922986e-05,1.5295931666709e-05,30996066.154199,0.31430911169269,3.4828492590066e-06,0,11389714.258745,11389714.258745,4.7483654008902e-09,1.7989122620709e-15
2.9,34.335989870936,0.75994515844202,5.2455795259776e-05,9.1801689680831e-07,28.4549121367,2,11215057.959685,0,0.36110972529123,0.36110972529123,2.5689755421668e-05,1.6213948563517e-05,30996065.797514,0.30714107537444,3.4017746492026e-06,0,11215057.959685,11215057.959685,-1.5524933210292e-09,2.8234332493645e-15
